title,url,created_at
"Death Toll From Ukrainian Strike on Makiivka Rises to 89\t\t",https://www.themoscowtimes.com/2023/01/04/death-toll-from-ukrainian-strike-on-makiivka-rises-to-89-a79870,2023-01-04 10:19:44.525598
Ukrainian missile was shot down when it strayed into Belarusian airspace,https://tass.com/world/1557433,2023-01-04 10:19:42.381420
Anti-ship mine defused off coast of Odesa ,https://www.ukrinform.net/rubric-ato/3644894-antiship-mine-defused-off-coast-of-odesa.html,2023-01-02 10:18:55.210252
Warsaw refutes Russian propaganda claims about 'Polish mercenaries' in Ukraine,https://www.ukrinform.net/rubric-ato/3645438-warsaw-refutes-russian-propaganda-claims-about-polish-mercenaries-in-ukraine.html,2023-01-03 10:19:16.982960
"Erdogan planning to hold separate phone calls with Zelensky, Putin tomorrow",https://www.ukrinform.net/rubric-polytics/3646068-erdogan-planning-to-hold-separate-phone-calls-with-zelensky-putin-tomorrow.html,2023-01-04 10:19:37.691574
Twenty targets shot down over Kyiv during Russia’s night air attack ,https://www.ukrinform.net/rubric-ato/3645020-twenty-targets-shot-down-over-kyiv-during-russias-night-air-attack.html,2023-01-02 10:18:55.208601
"Invaders shell Nikopol with Grad MLRS and heavy artillery, 20 explosions recorded",https://www.ukrinform.net/rubric-ato/3645577-invaders-shell-nikopol-with-grad-mlrs-and-heavy-artillery-20-explosions-recorded.html,2023-01-03 10:19:16.981886
"Putin Visits Russian Troops, Claims 'Moral Rightness' in New Year Address\t\t",https://www.themoscowtimes.com/2022/12/31/putin-visits-russian-troops-claims-moral-rightness-in-new-year-address-a79859,2023-01-03 10:19:24.067293
UK's Sunak promises long-term support to Ukraine after drone attacks,https://www.reuters.com/article/ukraine-crisis-britain-sunak/uks-sunak-promises-long-term-support-to-ukraine-after-drone-attacks-idUSKBN2TI0RE,2023-01-03 22:19:30.599092
Enemy again strikes border areas of Chernihiv region,https://www.ukrinform.net/rubric-ato/3645409-enemy-again-strikes-border-areas-of-chernihiv-region.html,2023-01-03 10:19:16.983192
"Russian Defense Chief Says Military Factories Working ‘Around the Clock’\n\t\t",https://www.themoscowtimes.com/2023/01/02/russian-defense-chief-says-military-factories-working-around-the-clock-a79864,2023-01-04 10:19:44.527919
Ukraine has already exported 16M tonnes of agricultural products within grain initiative,https://www.ukrinform.net/rubric-economy/3645371-ukraine-has-already-exported-16-m-tonnes-of-agricultural-products-within-grain-initiative.html,2023-01-02 22:19:06.466501
There can be no talks on Ukraine without Ukraine - MFA Austria,https://www.ukrinform.net/rubric-polytics/3645548-there-can-be-no-talks-on-ukraine-without-ukraine-austria.html,2023-01-03 10:19:16.982058
Ukraine’s Air Force launches 18 strikes on enemy positions ,https://www.ukrinform.net/rubric-ato/3645585-ukraines-air-force-launches-18-strikes-on-enemy-positions.html,2023-01-03 10:19:16.981829
"Russia commits 62,210 war crimes in Ukraine since invasion",https://www.ukrinform.net/rubric-ato/3646158-russia-commits-62210-war-crimes-in-ukraine-since-invasion.html,2023-01-04 10:19:37.691048
"Kyiv Rocked By Explosions Amid Russia's New Year Attacks\t\t",https://www.themoscowtimes.com/2023/01/01/kyiv-rocked-by-explosions-amid-russias-new-year-attacks-a79860,2023-01-03 10:19:24.067029
"Russian Gas Exports Outside Ex-Soviet States Fell 45.5% in 2022\t\t",https://www.themoscowtimes.com/2023/01/02/russian-gas-exports-outside-ex-soviet-states-fell-455-in-2022-a79863,2023-01-03 22:19:35.357779
"Zelensky, von der Leyen coordinate steps on Ukraine-EU summit",https://www.ukrinform.net/rubric-polytics/3645352-zelensky-von-der-leyen-coordinate-steps-on-ukraineeu-summit.html,2023-01-02 22:19:06.466779
"Ukrainian volunteers deliver bodies, and closure, to troops' families",https://www.reuters.com/article/ukraine-crisis-east-bodies/ukrainian-volunteers-deliver-bodies-and-closure-to-troops-families-idUSKBN2TI0PD,2023-01-03 22:19:30.599151
Ukraine's young circus artists wow Budapest after training in bomb shelters at home,https://www.reuters.com/article/ukraine-crisis-hungary-circus/ukraines-young-circus-artists-wow-budapest-after-training-in-bomb-shelters-at-home-idUSKBN2TI0J2,2023-01-04 10:19:39.993385
Russians shell 20 settlements in Zaporizhzhia region over past day,https://www.ukrinform.net/rubric-ato/3645629-russians-shell-20-settlements-in-zaporizhzhia-region-over-past-day.html,2023-01-03 10:19:16.981641
Ukraine to hit enemy positions throughout occupied territory – intelligence,https://www.ukrinform.net/rubric-ato/3645854-ukraine-to-hit-enemy-positions-throughout-occupied-territory-intelligence.html,2023-01-03 22:19:26.357161
"Russia not planning to end war, to continue offensive operations in 2023 – intelligence",https://www.ukrinform.net/rubric-ato/3645801-russia-not-planning-to-end-war-to-continue-offensive-operations-in-2023-intelligence.html,2023-01-03 22:19:26.357389
Ukraine plans to create oil reserve for domestic market,https://www.ukrinform.net/rubric-economy/3645998-ukraine-plans-to-create-oil-reserve-for-domestic-market.html,2023-01-04 10:19:37.691920
"63 Russian Soldiers Killed in Ukrainian Missile Strike on Makiivka — Defense Ministry \t\t",https://www.themoscowtimes.com/2023/01/02/63-russian-soldiers-killed-in-ukrainian-missile-strike-on-makiivka-defense-ministry-a79862,2023-01-03 10:19:24.066158
World welcomes 2023 and leaves a stormy year behind,https://www.reuters.com/article/new-year/world-welcomes-2023-and-leaves-a-stormy-year-behind-idUSKBN2TF02K,2023-01-02 10:18:59.420032
"Zelensky: Russia will do everything possible to try to turn tide of war \r\n",https://www.ukrinform.net/rubric-ato/3646071-zelensky-russia-mobilizes-those-whom-it-wants-to-throw-to-death.html,2023-01-04 10:19:37.691517
Italy is ready to be guarantor of peace treaty for Ukraine — PM,https://tass.com/world/1557411,2023-01-04 10:19:42.381494
Russian torture chamber discovered in Kherson regional police department,https://www.ukrinform.net/rubric-ato/3645902-russian-torture-chamber-discovered-in-kherson-regional-police-department.html,2023-01-03 22:19:26.356923
Loud explosion heard in Sevastopol - media,https://www.ukrinform.net/rubric-ato/3645456-loud-explosion-heard-in-sevastopol-media.html,2023-01-03 10:19:16.982758
